id,Latitude,Longitude,Score,Price
13824783,41.97654639192563,-87.68493430737107,99.0,$56.00
18125245,41.97214501590578,-87.69912520197866,95.0,$80.00
8362570,41.97100700324269,-87.68812949988241,98.0,$80.00
789867,41.964131797914064,-87.67595080694412,94.0,$20.00
16701336,41.976453286978774,-87.6899705735214,100.0,$28.00
8148031,41.96843550937784,-87.6775140149676,100.0,$45.00
6713059,41.96747876990389,-87.69185889865196,97.0,$48.00
8764277,41.97283490821424,-87.68627173549143,100.0,$89.00
14669492,41.97634446153028,-87.68709849619236,92.0,$119.00
11034368,41.969202926901275,-87.69312131482336,100.0,$52.00
17776058,41.96469524895153,-87.6783465938829,100.0,$69.00
3068787,41.96315298450933,-87.6803976826757,100.0,$150.00
13219821,41.971711400401276,-87.69691916446112,97.0,$150.00
1249397,41.97008925867546,-87.67423208003076,96.0,$130.00
4157774,41.96764579291501,-87.69037573614412,97.0,$102.00
14843458,41.96214954127127,-87.67932953977491,98.0,$69.00
2613270,41.96889081345047,-87.68905112139824,93.0,$89.00
1431467,41.97100922114555,-87.68877623121072,96.0,$150.00
722570,41.97483912594378,-87.69196442975964,100.0,$139.00
13988834,41.96285022001471,-87.6780603278919,97.0,$100.00
1466368,41.970508883911535,-87.6823449780011,91.0,$310.00
6585861,41.97005178703535,-87.68436098598136,100.0,$350.00
6634916,41.97253752040358,-87.69630758908542,97.0,$75.00
3325262,41.969459243438045,-87.69523157477963,96.0,$215.00
12803883,41.966290540375184,-87.68437974439726,98.0,$180.00
7420598,41.966841447480476,-87.69878391138538,97.0,$55.00
7130487,41.96741962619879,-87.69459659165199,100.0,$110.00
4633440,41.97280966605843,-87.69432614943753,98.0,$115.00
9384680,41.96252479607883,-87.68148250166195,98.0,$138.00
1503962,41.980585437715305,-87.6892452838448,96.0,$85.00
584590,41.96364339673461,-87.68382459870884,88.0,$75.00
8153968,41.965934203605634,-87.68662853750817,98.0,$65.00
15007764,41.969511239602866,-87.69562289820033,100.0,$70.00
16806319,41.978178532190455,-87.69865657422724,98.0,$169.00
1874928,41.96710435772914,-87.68397877227946,99.0,$180.00
11364317,41.97665640520098,-87.68767517506659,80.0,$59.00
11970214,41.97124604032541,-87.68640863992809,93.0,$65.00
3139109,41.96918023592639,-87.69661821697082,97.0,$75.00
10514631,41.961601686714346,-87.69429527727686,96.0,$95.00
4334711,41.96682611567139,-87.6789625460767,99.0,$112.00
6612044,41.97149626866629,-87.69706888263426,99.0,$85.00
3867654,41.969405609151146,-87.6960330636076,98.0,$53.00
9413714,41.96396766917098,-87.68607290586614,100.0,$100.00
5814832,41.971424866941454,-87.67634945730694,99.0,$102.00
17177641,41.96467376190873,-87.67583439877201,93.0,$60.00
739495,41.97846957254454,-87.6808654309728,97.0,$95.00
3006853,41.96318070514722,-87.67975911253876,100.0,$175.00
12673204,41.97349805227084,-87.69647199235655,100.0,$150.00
7839251,41.968432372957395,-87.6829826706619,99.0,$89.00
6316235,41.97342360828903,-87.69635119824875,92.0,$250.00
17151845,41.97784079411657,-87.69541294364046,98.0,$86.00
14556850,41.97696034083593,-87.68026472209922,97.0,$175.00
11923551,41.969037523000964,-87.69664898484835,98.0,$115.00
9095321,41.97319591011321,-87.69682270339537,99.0,$75.00
16147465,41.97046649069343,-87.6839697872968,100.0,$50.00
11420757,41.968182805887615,-87.68101699569262,93.0,$100.00
11442504,41.97044743726844,-87.68253817688458,99.0,$65.00
17176863,41.971248153495594,-87.68151146021744,100.0,$55.00
10344726,41.973676806625406,-87.67805006308636,94.0,$83.00
956612,41.967484201875436,-87.69774798653113,94.0,$85.00
6672989,41.96850404899667,-87.68137785893883,93.0,$200.00
2292057,41.970905397387064,-87.69910104608692,98.0,$130.00
14571515,41.970157193953746,-87.68490944090885,100.0,$125.00
8426959,41.98220608328463,-87.69591547656393,89.0,$165.00
9461345,41.97368960830408,-87.69321130233328,96.0,$70.00
13463943,41.965015767564026,-87.68109077887335,98.0,$73.00
14668906,41.97633854990096,-87.6867340139167,92.0,$125.00
2479175,41.962928428940366,-87.69358111834713,93.0,$80.00
7513667,41.9745724897445,-87.67588875302587,100.0,$55.00
507517,41.967136853835534,-87.69610721690674,97.0,$100.00
13028662,41.96267487819118,-87.68217777545239,94.0,$45.00
14502993,41.97881683626422,-87.68925654250928,96.0,$85.00
1641696,41.96811348064494,-87.6957070340098,99.0,$90.00
5737004,41.972822302998,-87.67561765798807,100.0,$85.00
4065067,41.970437339266454,-87.67429182139792,100.0,$200.00
17843825,41.96684430612521,-87.69561356834944,100.0,$142.00
5036709,41.96786398021255,-87.68569856367702,95.0,$195.00
10879699,41.974897892442044,-87.69006250336244,94.0,$94.00
15909282,41.97204762304767,-87.69619014378998,100.0,$40.00
15024349,41.976418890114076,-87.69174181406935,99.0,$205.00
16826474,41.9763832645226,-87.69683175155069,92.0,$85.00
7869796,41.9729372020891,-87.6958344318286,92.0,$180.00
9565600,41.80067723920879,-87.6042097003641,99.0,$65.00
15028822,41.79822037121125,-87.59989149324457,96.0,$70.00
5414283,41.79898995311189,-87.58972592225145,97.0,$59.00
13734276,41.79676997990677,-87.60356061280135,87.0,$140.00
6513021,41.80054176200225,-87.59809883100296,96.0,$70.00
15799391,41.79593506792933,-87.58817596191271,93.0,$42.00
17283213,41.801741469121254,-87.60017584782874,92.0,$110.00
3318359,41.801735769987005,-87.59289722995621,91.0,$45.00
8610501,41.79536984526335,-87.58279166682917,91.0,$120.00
15060745,41.79680982277213,-87.59664608840984,87.0,$60.00
1558897,41.80027775970933,-87.59360310051945,85.0,$95.00
3907071,41.79554928034754,-87.5917420471497,74.0,$37.00
16099092,41.79869004632558,-87.59680280426926,100.0,$65.00
13074067,41.79142522693997,-87.5952720029817,95.0,$30.00
4011519,41.79535660813484,-87.59219207169836,72.0,$30.00
10205972,41.79924958432323,-87.58460980248914,96.0,$46.00
3984079,41.79718186892938,-87.59378732765926,71.0,$150.00
349265,41.80085959609879,-87.58948398453863,100.0,$375.00
5810433,41.800020742730425,-87.60055856575799,97.0,$270.00
15067403,41.80109539787558,-87.58423868916235,98.0,$83.00
2604454,41.78977182006379,-87.58915969086445,98.0,$191.00
13892983,41.79143466760462,-87.59387668676642,100.0,$29.00
16023745,41.79973027152439,-87.59070527537153,99.0,$24.00
17676950,41.797823382029435,-87.58494647214363,100.0,$45.00
15250951,41.790739027459495,-87.59575274198757,88.0,$85.00
10610,41.79708495075886,-87.59194893566665,83.0,$35.00
3984383,41.7898045165414,-87.58960685316734,99.0,$94.00
12153109,41.79564410768564,-87.5985577428959,92.0,$195.00
14888126,41.79141428869351,-87.59380341279541,98.0,$60.00
13857415,41.790197961781786,-87.598008725468,94.0,$95.00
17247489,41.79696362425173,-87.6059079594149,85.0,$139.00
7728010,41.79056226386646,-87.59013173193024,94.0,$105.00
14608228,41.80224490747715,-87.59765292048809,90.0,$88.00
13379881,41.79192719240669,-87.60527752994831,96.0,$45.00
6524346,41.79118593728585,-87.59098876640905,97.0,$75.00
13671653,41.79844715060232,-87.58922627847677,96.0,$110.00
1746734,41.79657689195685,-87.5925874732502,93.0,$100.00
7022457,41.800985503338254,-87.58577104707817,88.0,$100.00
16378280,41.80032009224718,-87.60472777378942,95.0,$117.00
16836657,41.80110722201079,-87.58637507939434,83.0,$43.00
3319109,41.80071135819893,-87.59120322026686,91.0,$45.00
13342206,41.79770611363844,-87.60162592049673,92.0,$150.00
3517984,41.79980217823453,-87.59381477105086,99.0,$75.00
18375776,41.802247259324396,-87.59256060652442,100.0,$45.00
12870133,41.80131415902382,-87.59908757748101,96.0,$70.00
17964491,41.80167319892672,-87.58727955718855,100.0,$110.00
2989466,41.79628841712453,-87.59162371548426,97.0,$109.00
13349167,41.799400556054245,-87.59005149855663,97.0,$95.00
12868626,41.800798706289065,-87.59872585215753,97.0,$70.00
16360610,41.797358020957,-87.59584841814586,100.0,$95.00
13844204,41.801739055254274,-87.60060314670126,98.0,$70.00
15701532,41.801088038433825,-87.59862733191612,100.0,$31.00
8182137,41.801479926816185,-87.59825400525268,97.0,$55.00
15334917,41.80097538941842,-87.59214621526147,100.0,$85.00
4706356,41.79817204910084,-87.59621333854336,90.0,$250.00
15339220,41.791010815449106,-87.59031310953208,92.0,$99.00
10765065,41.80198638183301,-87.60464503280579,98.0,$90.00
5297152,41.79717848748379,-87.59734716678624,97.0,$70.00
1837153,41.7996266917381,-87.59476783997493,85.0,$85.00
12714714,41.797701720352386,-87.60196066398744,99.0,$60.00
13065303,41.80184347427958,-87.59192324647644,100.0,$650.00
17000460,41.79904723347092,-87.6039073004291,96.0,$149.00
12308104,41.801565630143095,-87.5970516454833,97.0,$40.00
2384,41.788864900877655,-87.58670890962763,100.0,$50.00
13961352,41.80088458548476,-87.59571892317534,100.0,$240.00
