STORE NAME,Latitude,Longitude
SAVEWAY FOOD,41.8164863247,-87.61919683139999
"SEVEN NINE ELEVEN FOOD MART, INC.",41.8046211506,-87.7199070655
SHOP & SAVE MARKET,41.7960196245,-87.7596833672
SOLID GOLD,41.866119494,-87.720927574
SUNRISE FOOD AND LIQUORS,41.895314759,-87.72019984149999
SUPER DOLLAR DISCOUNT,41.8066939242,-87.6647716526
SUPER FURNITURE & FOOD MART,41.7978225881,-87.6645368783
SUPER MAS MARKET,41.8087654583,-87.6611701084
SUPER MERCADO EL GUERRO,41.8084712383,-87.6674545133
SUPER MERCADO LA CHIQUITA,41.8442791237,-87.71455376629999
SUPERIOR NUT & CANDY  CO.I INC.,41.820957494,-87.6537783218
SUPERMARKET & TAQUERIA CARO,41.807460877800004,-87.747060571
SUPERMERCADO ALEX,41.8369472381,-87.72814236319999
SUPERMERCADO EL CUBANO INC,41.803782323,-87.6646953279
SUPERMERCADO EL GUERO #10 INC,41.8205830407,-87.69342616600001
SUPERMERCADO EL GUERO NO. 8,41.8520256918,-87.6784122433
SUPERMERCADO GELA'S,41.8424245295,-87.7170303155
SUPERMERCADO GUADALAJARA #2,41.8498575327,-87.70534347709999
SUPERMERCADO GUERRERO,41.8519083675,-87.70287598899999
SUPERMERCADO LA CHIQUTIA # 4,41.8435348913,-87.72438217940001
Supermercado Santos,41.8367499608,-87.7261326568
TAI WAH GROCERY,41.8521271977,-87.63214399569999
Three Stars Liquors,41.8858229904,-87.73578781139999
TRADER JOE'S EAST,41.8934080204,-87.6264377426
TRATTORIA ISABELLA,41.8862936679,-87.6426439206
TREASURE ISLAND FOODS,41.8947983703,-87.6158666457
WASHINGTON GROCERY,41.8718636117,-87.7290573726
"WAY LOW DISCOUNT FOOD, INC.",41.8598459614,-87.705338554
WEST HAVEN MARKET & GRILL,41.8831944724,-87.6804664902
WHOLE FOODS MARKET,41.8688897111,-87.6390989281
WHOLE FOODS MARKET,41.894968673200005,-87.62939917870001
WINDY CITY INC,41.8759443554,-87.7452502275
ZIAD CERTIFIED FOODS,41.809322870100004,-87.61333552120001
WALGREENS #232,41.8326245,-87.6168411
WALGREENS #162,41.79529732,-87.58782256
WALGREENS #2073,41.79623488,-87.63040492
WALGREENS #226,41.84414469,-87.72477825
WALMART,41.80876829,-87.66098821
PETE'S FRESH SUPERMARKET,41.85210065,-87.68905111
SAVE-A-LOT # 866,41.85128849,-87.72385084
