ID,Latitude,Longitude
11094370,42.012293397,-87.699714109
11118031,41.918711651,-87.76551063
11134189,41.814669784,-87.690726696
11156462,41.938581442,-87.765830579
11164874,41.895805099,-87.683159355
10974196,41.78742694,-87.62175872700001
10995008,41.707062135,-87.631482564
11086755,41.844510467,-87.705519454
11162428,41.843778126,-87.69463767799999
11175304,41.894475919,-87.70216915799999
11175934,41.895101237,-87.68437856799999
10929491,41.852796034,-87.696662196
11071841,41.905025355,-87.709305775
11092775,41.712720927,-87.681813981
23128,41.882904225,-87.769852575
10856922,41.75033427,-87.665045312
11043709,41.867131594,-87.720802297
11126911,41.915957492,-87.676668385
11143767,41.897467171,-87.769136879
11145578,41.863330777,-87.727523713
11146097,41.791975485,-87.64631068
11151046,41.863330777,-87.727523713
11164834,41.863330777,-87.727523713
11170225,41.727175279,-87.604594406
11172432,41.954793921,-87.70315153899999
11143821,41.882394061999996,-87.627844798
11162829,41.967264235,-87.70476791700001
11175208,41.729028352,-87.58674337
10810661,41.962301425,-87.67899814399999
10811218,41.90907278,-87.693292877
10811359,41.865412869000004,-87.722709399
10811360,41.858936106,-87.718534819
10811378,41.735120189,-87.6423738
10811390,41.727011968,-87.57303647799999
10811397,41.821690235,-87.690832606
10811413,41.908849952,-87.646645976
10811414,41.875130749,-87.736371509
10811424,41.657321469,-87.60638511200001
10811432,41.799562177,-87.587582914
10811530,41.881917848,-87.736480932
10811581,41.868300588000004,-87.699052669
10811608,41.883784731,-87.735578531
10811613,41.886300546,-87.75528349
10811635,41.948279589,-87.64951666700001
10811647,41.903561568,-87.72754763100001
10811664,41.883500186999996,-87.627876698
10811678,41.897734345,-87.746875495
10811752,41.782521904,-87.708900071
10811757,41.740957045,-87.65105022700001
10811758,41.738233797,-87.562381157
10811759,41.909512571,-87.75498227700001
10811779,41.876587174,-87.628727499
10811794,41.750472394,-87.634297122
10811796,41.768022593000005,-87.572174872
10811803,41.874947338000005,-87.72547164
10811818,41.692182999,-87.62309501700001
10811826,41.829568547,-87.628069217
10811836,41.77268594,-87.605758495
10811837,41.793518975,-87.677024858
10811838,41.894993403,-87.622148996
10811869,41.905317761999996,-87.730131896
10811876,41.804360421,-87.586085846
10811878,41.754592961,-87.74152853700001
10811889,41.856790413,-87.70842407100001
10811905,41.677830551999996,-87.62050376200001
10811909,41.756127826,-87.615071416
10811920,41.956836485,-87.734065461
10811924,41.982804569,-87.80139044299999
10811926,41.873699424,-87.704705156
10811937,41.772798312,-87.682108198
10811938,41.722140855,-87.63216467
10811949,41.788735926,-87.718744
10811956,41.76680404,-87.60561968299999
10811960,41.745394001,-87.600163368
10811961,41.754683888,-87.58448538299999
10811962,41.965876821,-87.72796146799999
10811966,41.750361217,-87.65373214899999
10811975,41.829651528,-87.614451899
10812002,41.930893918,-87.794688763
