id,Latitude,Longitude
13824783,41.97654639192563,-87.68493430737107
16740225,41.976521618876994,-87.68875498836796
18125245,41.97214501590578,-87.69912520197866
8362570,41.97100700324269,-87.68812949988241
789867,41.964131797914064,-87.67595080694412
16701336,41.976453286978774,-87.6899705735214
8148031,41.96843550937784,-87.6775140149676
6713059,41.96747876990389,-87.69185889865196
17620535,41.96668629455379,-87.68841462305994
12581064,41.96589883972229,-87.6812837246127
8764277,41.97283490821424,-87.68627173549143
14669492,41.97634446153028,-87.68709849619236
11034368,41.969202926901275,-87.69312131482336
17776058,41.96469524895153,-87.6783465938829
3068787,41.96315298450933,-87.6803976826757
13219821,41.971711400401276,-87.69691916446112
1249397,41.97008925867546,-87.67423208003076
4157774,41.96764579291501,-87.69037573614412
14843458,41.96214954127127,-87.67932953977491
2613270,41.96889081345047,-87.68905112139824
18510290,41.98214606258285,-87.69837380944399
1431467,41.97100922114555,-87.68877623121072
722570,41.97483912594378,-87.69196442975964
13988834,41.96285022001471,-87.6780603278919
1466368,41.970508883911535,-87.6823449780011
6585861,41.97005178703535,-87.68436098598136
6634916,41.97253752040358,-87.69630758908542
17447161,41.964904424183366,-87.68728204417336
3325262,41.969459243438045,-87.69523157477963
12803883,41.966290540375184,-87.68437974439726
7420598,41.966841447480476,-87.69878391138538
7130487,41.96741962619879,-87.69459659165199
4633440,41.97280966605843,-87.69432614943753
9384680,41.96252479607883,-87.68148250166195
1503962,41.980585437715305,-87.6892452838448
17903682,41.96502383685453,-87.6809400385087
584590,41.96364339673461,-87.68382459870884
8153968,41.965934203605634,-87.68662853750817
15007764,41.969511239602866,-87.69562289820033
16806319,41.978178532190455,-87.69865657422724
1874928,41.96710435772914,-87.68397877227946
11364317,41.97665640520098,-87.68767517506659
18327990,41.96923648969349,-87.67813086426136
11970214,41.97124604032541,-87.68640863992809
3139109,41.96918023592639,-87.69661821697082
10514631,41.961601686714346,-87.69429527727686
4334711,41.96682611567139,-87.6789625460767
6612044,41.97149626866629,-87.69706888263426
3867654,41.969405609151146,-87.6960330636076
9413714,41.96396766917098,-87.68607290586614
5814832,41.971424866941454,-87.67634945730694
17177641,41.96467376190873,-87.67583439877201
739495,41.97846957254454,-87.6808654309728
3006853,41.96318070514722,-87.67975911253876
12673204,41.97349805227084,-87.69647199235655
7839251,41.968432372957395,-87.6829826706619
6316235,41.97342360828903,-87.69635119824875
17151845,41.97784079411657,-87.69541294364046
18243435,41.970307403643524,-87.6927285024173
14556850,41.97696034083593,-87.68026472209922
11923551,41.969037523000964,-87.69664898484835
9095321,41.97319591011321,-87.69682270339537
16147465,41.97046649069343,-87.6839697872968
11420757,41.968182805887615,-87.68101699569262
9492864,41.970502014254755,-87.6994576421491
11442504,41.97044743726844,-87.68253817688458
17176863,41.971248153495594,-87.68151146021744
10344726,41.973676806625406,-87.67805006308636
956612,41.967484201875436,-87.69774798653113
6672989,41.96850404899667,-87.68137785893883
2292057,41.970905397387064,-87.69910104608692
3053490,41.97492741202004,-87.67930656731328
14571515,41.970157193953746,-87.68490944090885
8426959,41.98220608328463,-87.69591547656393
9461345,41.97368960830408,-87.69321130233328
13463943,41.965015767564026,-87.68109077887335
14668906,41.97633854990096,-87.6867340139167
2479175,41.962928428940366,-87.69358111834713
7513667,41.9745724897445,-87.67588875302587
507517,41.967136853835534,-87.69610721690674
16749331,41.96809711702125,-87.69026330294486
